ID,Start,End,Speaker,Text
1,00:00,00:01,Jean Claude,"All I have written down."
2,00:01,00:01,Jean Claude,"So there's the poison,"
3,00:02,00:03,Jean Claude,"what else?"
4,00:03,00:03,Jean Claude,"There's a spear,"
5,00:03,00:04,Jean Claude,"but it's just a regular spear,"
6,00:04,00:04,Jean Claude,"right?"
7,00:04,00:04,Jean Claude,"Yeah,"
8,00:04,00:05,Jean Claude,"it's a regular spear,"
9,00:05,00:07,Jean Claude,"and he's got some regular medium armor."
10,00:07,00:09,Jean Claude,"Anybody want a spear or some armor?"
11,00:10,00:11,DM,"Can't use the armor."
12,00:11,00:12,DM,"It's a breastplate."
13,00:12,00:13,DM,"It's a pretty good medium armor,"
14,00:14,00:15,DM,"but if no one can use it,"
15,00:15,00:15,DM,"then meh."
16,00:16,00:18,DM,"I can only use light armor."
17,00:19,00:19,Jean Claude,"I'm a rogue,"
18,00:20,00:20,Jean Claude,"so."
19,00:22,00:22,Jean Claude,"Oh,"
20,00:22,00:22,Jean Claude,"cool."
21,00:22,00:23,Jean Claude,"Then yeah,"
22,00:23,00:23,Jean Claude,"that's all we take."
23,00:23,00:24,Jean Claude,"He had no currency?"
24,00:24,00:25,Jean Claude,"No,"
25,00:25,00:25,DM,"no,"
26,00:25,00:25,DM,"no."
27,00:26,00:26,DM,"Nothing."
28,00:26,00:27,DM,"And I mean,"
29,00:27,00:29,DM,"anything else is blown up on the ship,"
30,00:29,00:29,DM,"most likely."
31,00:29,00:58,Perrin,"yeah um so oh that was a little impulsive but i mean cool it was fucking super cool yeah it was it was awesome yeah i thought it was really cool i liked it a lot and you guys do know that the grung who are coming back they clearly went somewhere right oh yeah no no like i think next step is to trace their their tracks back where they're coming from which their tracks are absolutely fresh,"
32,00:58,00:59,Jean Claude,"so theoretically,"
33,00:59,01:00,Jean Claude,"it should be easier to follow."
34,01:01,01:01,Jean Claude,"Okay."
35,01:03,01:04,Delmar,"Mr."
36,01:04,01:04,Delmar,"Tabarnack,"
37,01:04,01:06,Delmar,"should we also go and check the others?"
38,01:07,01:08,Speaker 1,"That one is not..."
39,01:09,01:12,Delmar,"I believe the one kin you took out,"
40,01:12,01:14,Delmar,"but the other one was simply knocked out by Miss Khinriss."
41,01:16,01:17,Jean Claude,"Like of the ones that were..."
42,01:17,01:18,Speaker 1,"Yeah,"
